Component,Function,Wire Color,Pin Label,Pin Location
E-Ink Display,VCC,Red,3V3 Power,Pin 1
E-Ink Display,GND,Black,Ground,Pin 20
E-Ink Display,DIN,Blue,GPIO 10,Pin 19
E-Ink Display,CLK,Yellow,GPIO 11,Pin 23
E-Ink Display,CS,Orange,GPIO 8,Pin 24
E-Ink Display,DC,Green,GPIO 25,Pin 22
E-Ink Display,RST,White,GPIO 27,Pin 13
E-Ink Display,BUSY,Purple,GPIO 24,Pin 18
E-Ink Display,PWR,Brown,GPIO 4,Pin 7
Button 1,SIGNAL,Red,GPIO 26,Pin 37
Button 1,GND,Black,Ground,Pin 39
Button 2,SIGNAL,Red,GPIO 16,Pin 36
Button 2,GND,Black,Ground,Pin 25
Rotary Encoder,OUT A,Orange,GPIO 5,Pin 29
Rotary Encoder,OUT B,Green,GPIO 6,Pin 31
Rotary Encoder,SWITCH,Red,GPIO 13,Pin 33
Rotary Encoder,GND,Yellow,Ground,Pin 30
Rotary Encoder,GND,Brown,Ground,Pin 34
Amp 1,LRC,White,GPIO 19,Pin 35
Amp 1,BCLK,Grey,GPIO 18,Pin 12
Amp 1,DIN,Purple,GPIO 21,Pin 40
Amp 1,GAIN,Blue,3V3 Power,Pin 17
Amp 1,SD,Green,GPIO 22,Pin 15
Amp 1,GND,Yellow,Ground,Pin 6
Amp 1,VIN,Orange,5V Power,Pin 2
Amp 2,LRC,White,Spliced into Amp 1 White,(spliced into same wire of amp 1)
Amp 2,BCLK,Grey,Spliced Into Amp 1 Grey,(spliced into same wire of amp 1)
Amp 2,DIN,Purple,Spliced into Amp 1 Purple,(spliced into same wire of amp 1)
Amp 2,GAIN,Blue,Spliced into Amp 1 Blue,(spliced into same wire of amp 1)
Amp 2,SD,Green,GPIO 23,Pin 16
Amp 2,GND,Yellow,Ground,Pin 9
Amp 2,VIN,Orange,5V Power,Pin 4